03:10:00.003 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:11:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:12:00.006 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:13:00.001 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:14:00.004 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:15:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:16:00.003 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:17:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:18:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:19:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:20:00.008 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:21:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:22:00.001 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:23:00.006 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:24:00.001 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:25:00.009 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:26:00.009 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:27:00.000 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:28:00.011 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:29:00.008 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:30:00.000 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:31:00.001 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:32:00.010 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:33:00.000 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:34:00.000 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:35:00.001 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:36:00.001 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:37:00.000 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:38:00.007 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:39:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:40:00.005 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:41:00.001 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:42:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:43:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:44:00.004 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:45:00.003 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:46:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:47:00.008 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:48:00.005 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
